reading_status,title,author,platform,pairing,status,words,chapters,rating,link
Am Lesen,The best of me ,mrsren,Ao3,Dramione,Completed ,,,,
Am Lesen,Bound by blood,snortinglavender,Ao3,Dramione,WIP,"121,9k",21 von ?,,https://archiveofourown.org/works/47092120/chapters/118643860
Gelesen,Measure of a Man,Inadaze22,Ao3,Dramione,Completed,"588,659",42,,https://archiveofourown.org/works/26523892/chapters/64648648
Gelesen,Green Light,SereneMusafir,Ao3,Dramione,Completed,"441,5k",41,11,https://archiveofourown.org/works/32535493/chapters/80699710
Gelesen,House Husband,sodamnrad,Ao3,Dramione,Completed,"8,900",1,3,https://archiveofourown.org/works/38886435
Gelesen,Manacled,Senlinyu,Ao3 - bis Ende 2024,Dramione,Completed,"370,5k",77,10,https://archiveofourown.org/works/14454174/chapters/33390198?view_adult=true
Gelesen,The Auction,LovesBitca8,Ao3,Dramione,Completed,"325,9k",41,10,https://archiveofourown.org/works/19101535/chapters/45385237
Gelesen,Secrets and Masks,Emerald_Slytherin,Ao3,Dramione,Completed,"454,5k",75,10,https://archiveofourown.org/works/32136715/chapters/79619566
Gelesen,Amor Vinvit Omnia,twin_flames_blues,Ao3,Dramione,Completed,"288,120",32,10,https://archiveofourown.org/works/39735819/chapters/99482019
Gelesen,The Right Thing To Do,Lovesbitca8,Ao3 ,Dramione,Completed,"174,911",36,8,https://archiveofourown.org/works/11472648/chapters/25724661
Gelesen,All The wrong things,LovesBitca8,Ao3,Dramione,Completed,"160,297",24,8,https://archiveofourown.org/works/14452923/chapters/33387135
Gelesen,Apostasy,Deydralinne,Ao3,Dramione,Completed,"146,747",53,7,https://archiveofourown.org/works/56147932/chapters/142628926
Gelesen,Imagine,Zobel,FF.de,Dramione,Completed,"2,464",1,10,https://www.fanfiktion.de/s/d/5a284236000630fd1dc44d0d/Imagine
Gelesen,Unstillbares Verlangen,Lady S,FF.de,Dramione,Completed,"88,101",23,6,https://www.fanfiktion.de/s/d/54b8ffa00001f0b733b06a4e/Unstillbares-Verlangen
Gelesen,See you in New York,Amira Flavia,FF.de,Dramione,Completed,"478,079",54,8,https://www.fanfiktion.de/s/d/5114b71f0002ac38067007d0/See-you-in-New-York
Gelesen,Das Verm�chtnis des Severus Snape,Mabji Goose,"FF,de",,Completed,"3,904",1,9,https://www.fanfiktion.de/s/d/5739956c0005625f7a1b5da/Das-Vermaechtnis-des-Severus-Snape
Gelesen,The Heir of Slytherin,nataliatena,FF.de,Rosalie,Completed,"592,010",211,10,https://www.fanfiktion.de/s/d/5b5f4e01000573a22a7b6571/The-Heir-of-Slytherin
Gelesen,Dunkler Stern,nataliatena,"FF,de",,Completed,"56,460",49,,https://www.fanfiktion.de/s/d/5d233421000573a2cdd6789/Dunkler-Stern
Gelesen,Alcahuetear,nataliatena,FF.de,DMxSS,Completed,"3,591",4,7,https://www.fanfiktion.de/s/d/5d8646b3000573a2f4a53c5/Alcahuetear
Gelesen,Entweder wir sterben zusammen - oder gar nicht,nataliatena,FF.de,FWxGW,Completed,"2,499",1,8,https://www.fanfiktion.de/s/d/5d88d30b000573a22264d2b3/Entweder-wir-sterben-zusammen-oder-gar-nicht
Gelesen,Flucht,nataliatena,FF.de,,Completed,"1,802",1,4,https://www.fanfiktion.de/s/5d8a1136000573a22e4cb050/1/Flucht
Gelesen,Moments of friendhship,nataliatena,"FF,de",,Completed,"9,904",11,6,https://www.fanfiktion.de/s/d/5d875b91000573a28584f73/Moments-of-friendship
Gelesen,Just another time travel fanfiction,nataliatena,FF.de,Snarry ,Completed,"28,966",23,,https://www.fanfiktion.de/s/d/5dae028b000573a211f43ff0/Just-another-time-travel-fanfiction
Gelesen,"Truth, Past, Present",nataliatena,FF.de,"RL/SS, DM/?",Completed,"127,835",59,9,https://www.fanfiktion.de/s/d/5d751eee000573a23ad6cb9c/Truth-Past-Present
Gelesen,When Hermione Fights,queenie,FF.de,HGxSB/DM/LM/SS,Completed,"4,119,230",667,10,https://www.fanfiktion.de/s/d/4d1c99d900014060067007d0/When-Hermione-Fights
