reading_status,title,author,platform,pairing,status,words,chapters,recommended,link
currently reading,Measure of a Man,Inadaze22,Ao3,Dramione,Completed,"588,659",42,,https://archiveofourown.org/works/26523892/chapters/64648648
done,Apple Pies and Other Amends,ToEatAPeach,Ao3,Dramione,Completed,"76,720",29,ja,https://archiveofourown.org/works/8156101/chapters/18691246
done,Green Light,SereneMusafir,Ao3,Dramione,Completed,"441,5k",41,ja,https://archiveofourown.org/works/32535493/chapters/80699710
done,"Dancing bears, painted wings",Lovesbitca8,Ao3 ,Dramione,Completed,"4,459",1,ja,https://archiveofourown.org/works/35387446
done,Bring him to his knees,musyc,Ao3 ,Dramione,Completed,"246,526",31,ja,
done,Nothing good happens after 2AM,Lovesbitca8,Ao3 ,Dramione,Completed,"8,574",2,ja,https://archiveofourown.org/works/36463387/chapters/90923182
done,The Right Thing To Do,Lovesbitca8,Ao3 ,Dramione,Completed,"174,911",36,ja,https://archiveofourown.org/works/11472648/chapters/25724661
done,"Come on, little schoolgirl!",wandbreaker,FF.de ,Snamoine,Completed,"22,355",5,ja,https://www.fanfiktion.de/s/5f971a69000b6f8518c51b54/1/Come-on-little-schoolgirl
done,Hide and seek,Nathalya,FF.de ,Snamoine,Completed,"33,196",10,ja,https://www.fanfiktion.de/s/5b0dd35f0001b84039513080/1/Hide-and-Seek
done,Lass dich fallen!,tanzendeFeder,FF.de ,Snamoine,Completed,"23,002",12,ja,https://www.fanfiktion.de/s/5ee3079c0009bfa11ea7d033/1/Lass-dich-fallen
done,Baton Rouge,Daedalean,FF.de ,Dramione,Completed,"102,939",49,ja,https://www.fanfiktion.de/s/4feee47200019963067007d0/1/Baton-Rouge
done,Du mein Friede,joulesbuecher,FF.de ,none,Completed,"1,121",1,nein,https://www.fanfiktion.de/s/621e3f2a000c0b6935c4b6e8/1/Du-mein-Friede-nbsp-I-ONESHOT
done,Unstillbares Verlangen,Lady S,FF.de,Dramione,Completed,"88,101",23,ja,https://www.fanfiktion.de/s/d/54b8ffa00001f0b733b06a4e/Unstillbares-Verlangen
done,Bad Books & Second Looks,GracefulLioness,Ao3,Dramione,Completed,"62,271",10,nein,
on list,Bound by blood,snortinglavender,Ao3,Dramione,WIP,"121,9k",21 von ?,,https://archiveofourown.org/works/47092120/chapters/118643860
on list,House Husband,sodamnrad,Ao3,Dramione,Completed,"8,900",1,,https://archiveofourown.org/works/38886435
on list,Manacled,Senlinyu,Ao3,Dramione,Completed,"370,5k",77,,https://archiveofourown.org/works/14454174/chapters/33390198?view_adult=true
on list,The Auction,LovesBitca8,Ao3,Dramione,Completed,"325,9k",41,,https://archiveofourown.org/works/19101535/chapters/45385237
on list,Secrets and Masks,Emerald_Slytherin,Ao3,Dramione,Completed,"454,5k",75,,https://archiveofourown.org/works/32136715/chapters/79619566
on list,Amor Vinvit Omnia,twin_flames_blues,Ao3,Dramione,Completed,"288,120",32,,https://archiveofourown.org/works/39735819/chapters/99482019
on list,All The wrong things,LovesBitca8,Ao3,Dramione,Completed,"160,297",24,,https://archiveofourown.org/works/14452923/chapters/33387135
on list,Apostasy,Deydralinne,Ao3,Dramione,Completed,"146,747",53,,https://archiveofourown.org/works/56147932/chapters/142628926
on list,Imagine,Zobel,FF.de,Dramione,Completed,"2,464",1,,https://www.fanfiktion.de/s/d/5a284236000630fd1dc44d0d/Imagine
on list,See you in New York,Amira Flavia,FF.de,Dramione,Completed,"478,079",54,,https://www.fanfiktion.de/s/d/5114b71f0002ac38067007d0/See-you-in-New-York
on list,Das Verm�chtnis des Severus Snape,Mabji Goose,"FF,de",,Completed,"3,904",1,,https://www.fanfiktion.de/s/d/5739956c0005625f7a1b5da/Das-Vermaechtnis-des-Severus-Snape
on list,The Heir of Slytherin,nataliatena,FF.de,Rosalie,Completed,"592,010",211,,https://www.fanfiktion.de/s/d/5b5f4e01000573a22a7b6571/The-Heir-of-Slytherin
on list,Dunkler Stern,nataliatena,"FF,de",,Completed,"56,460",49,,https://www.fanfiktion.de/s/d/5d233421000573a2cdd6789/Dunkler-Stern
on list,Alcahuetear,nataliatena,FF.de,DMxSS,Completed,"3,591",4,,https://www.fanfiktion.de/s/d/5d8646b3000573a2f4a53c5/Alcahuetear
on list,Entweder wir sterben zusammen - oder gar nicht,nataliatena,FF.de,FWxGW,Completed,"2,499",1,,https://www.fanfiktion.de/s/d/5d88d30b000573a22264d2b3/Entweder-wir-sterben-zusammen-oder-gar-nicht
on list,Flucht,nataliatena,FF.de,,Completed,"1,802",1,,https://www.fanfiktion.de/s/5d8a1136000573a22e4cb050/1/Flucht
on list,Moments of friendhship,nataliatena,"FF,de",,Completed,"9,904",11,,https://www.fanfiktion.de/s/d/5d875b91000573a28584f73/Moments-of-friendship
