reading_status,title,author,platform,pairing,status,words,chapter,rating_note,
currently reading,Austrialien,wandbreaker,fanfiction.de,Snamione,wip,,,,
done,The Right Thing To Do,LovesBitca8,Ao3,Dramione,done,175,36,10/10 - underlying Intrigen und F�den ziehen owa chefs kiss writing (who am i kidding the ganze rights and wrongs series is a 100000/10 cause i cant),
done,All The Wrong Things,LovesBitca8,Ao3,Dramione,done,160.297,24,was honestly scho goanimma worums genau geht soooooo a reread is in order!,
done,The Auction,LovesBitca8,Ao3,Dramione,done,325.876,41,kinda dark - ned f�r depressive phases - still 10/10,
done,Birth Right,LovesBitca8,Ao3,Dramione,done,28.514,6,i glaub Narcissa woa da focus owaa still reread!!,
done,When What's Right is Wrong,LovesBitca8,Ao3,Dramione,done,5.165,1,??,
done,All Right,LovesBitca8,Ao3,Dramione,done,2.57,7/?,??,
done ,"dancing bears, painted wings",LovesBitca8,Ao3,Dramione,done,4459,1,cuter oneshot mit memory modifying charm,
done,Hot for Teacher,motherofbulls,Ao3,Dramione,done,"61,722",26,10/10 spice,
done,An Indefinite Amount of Forever,motherofbulls,Ao3,Dramione,done,"79,719",18,des is da zweite teil von Hot for Teacher und jo; waun wer de accidental pregnancy trope genauso wenig mog wie i daun is de ff eventuell eher nix; owa de szenen mid de kids in hogwarts woan nice - 6/10,
done,"Albus, Meet Albus: A Play in One Act",motherofbulls,Ao3,Albus PotterxOC,done,"2,831",1,"fortsetzung von hot for teacher wos um den erwachsenen/jungen albus potter geht, woa gauns cute  vor allem wei da albus in dea story so a cuter weirdo is xD - 7/10",
done ,"Say ""Merlin Help Me"" to the Dress",motherofbulls,Ao3,gibt kan Namen ,wip,"3,530",2/?,is a s��e Erweiterung in dem Universum von Hot for Teacher - owa leider schon ewig kane updates mehr deswegen 5/10,
done,The Eagles Nest,HeartOfAspen,Ao3,Dramione,done,292.798,71,"10/10 - magic descriptions und feel von da story absolut on point, character development und happy end included ",
done,Sugar And Spice,InLoveWithForever,Ao3,gibt kan Namen wei Threesome,done,156.052,32,9/10 - Hermione woa iwie ned so relatable owa guad trotzdem wei fluff und smut und threesome mit DracoxTheoxHermione (8.Jahr),
done,Draco Malfoy & The Mortifying Ordeal Of Being In Love,isthisselfcare,Ao3,Dramione ,done,"199,548",36,Healer Hermione and Draco es is wida a 10/10 what can i say (honestly probably sogoa 15/10),
done,Bring Him to His Knees,musyc,Ao3,Dramione,done,246526,31,look at the tags cause its nasty (in a good way),
done,Regression,noctisx,Ao3,Dramione,done,189037,32,corruption im Ministerium und still nice dramione BUT people DIE oiso 8/10,
done,One and Done,PacificRimbound,Ao3,Dramione,done,"34,939",4,so a glane s��e smutty story f�r zwischendurch 9/10,
done ,The Secretary,PacificRimbound,Ao3,PercyXPansy,done,"45,964",6,"hab vor ein Paar Wochen herausgefunden, dass diese FF in dem ""Universum"" von One and Done spielt und war so ""thats a must read"" - and it was, es woa sehr spicy und auch ziemlich kinky f�r so a workplace romance (who knew das percy so a dom sei kau) so be warned Rating 8/10 (weils nur 6 Kapitel hat)",
done,The Cursed One,Stein048,Ao3,Dramione,done,134,44,woa sehr nice owa ned top notch ._. soooo 7/10,
done,Curiosity,DKMo8_Archivist,Ao3,ka kommentar,done,"2,271",1,des is afoch nua purer porn von rapunzel und eugene/flynn rider - literally ka plot(we listen and we dont judge ok?) ,
done,Measure Of A Man,inadaze22,Ao3,Dramione,done,"588,659",42,"wunderbare dramione, spicy too olle character haum a extremes development w�hrend da storyline und de overall handlung is a geil 20/10 would recommend",
done,Nothing Good Happens After 2AM,LovesBitca8,Ao3,Dramione,done,"8,574",2,"achtes Jahr setting, very smutty 10/10",
done,sweet dreams of holly and ribbon,LovesBitca8,Ao3,Dramione,done,"4,704",1,"Weihnachtsoneshot mit Draco und Hermine w�hrendn Krieg, mega smutty - 10/10",
done,Green Light ,SereneMusafir,Ao3,Dramione,done,"441,527",41,"woa leida ned de beste dramione obwoi des setting sehr nice woa, owa waun ma Hermine ois starke frau ois charakter liebt daun is des definitiv ka recommandation wei sie sie in dieser story afoch ois gefallen l�sst wirklich es is absolut horrible, au�erdem is generell mega dark und de side charkters san ALLE shitty, da aufbau von da romance woa a ned so nice und es gibt KEIN happy end (honestly hob i mi nachm lesen afoch nur leer gef�hlt wei afoch nix am ende mehr �brig woa von irgendana happyness, i w�rds ned empfehlen - 2/10) ",
done,Dipped in Chocolate,willowandfog,Ao3,Dramione,done,"4,346",1,fluffy oneshot - would recommend,
